Date,Week,Team 1,Team 2,Team 1 Score,Team 2 Score,Game Type
09/09/12,Week 1,Los Angeles Wildcats,Milwaukee Mustangs,84,105,Season
09/09/12,Week 1,Chicago Slaughter,Northern Arizona Wranglers,97,104,Season
09/09/12,Week 1,Miami Inferno,Vegas Knight Hawks,106,60,Season
09/09/12,Week 1,Boston Brawlers,Philadelphia Soul,42,81,Season
09/09/12,Week 1,Cedar Rapids Titans,Cleveland Gladiators,74,97,Season
09/09/12,Week 1,Brooklyn Bolts,Tucson Sugar Skulls,78,72,Season
09/16/12,Week 2,Northern Arizona Wranglers,Milwaukee Mustangs,70,84,Season
09/16/12,Week 2,Vegas Knight Hawks,Chicago Slaughter,84,95,Season
09/16/12,Week 2,Miami Inferno,Los Angeles Wildcats,57,112,Season
09/16/12,Week 2,Philadelphia Soul,Tucson Sugar Skulls,80,90,Season
09/16/12,Week 2,Cleveland Gladiators,Brooklyn Bolts,78,79,Season
09/16/12,Week 2,Cedar Rapids Titans,Boston Brawlers,87,73,Season
09/23/12,Week 3,Chicago Slaughter,Milwaukee Mustangs,77,113,Season
09/23/12,Week 3,Los Angeles Wildcats,Vegas Knight Hawks,85,56,Season
09/23/12,Week 3,Northern Arizona Wranglers,Miami Inferno,56,101,Season
09/23/12,Week 3,Brooklyn Bolts,Philadelphia Soul,66,62,Season
09/23/12,Week 3,Tucson Sugar Skulls,Cedar Rapids Titans,110,65,Season
09/23/12,Week 3,Boston Brawlers,Cleveland Gladiators,65,100,Season
09/30/12,Week 4,Milwaukee Mustangs,Vegas Knight Hawks,122,80,Season
09/30/12,Week 4,Chicago Slaughter,Miami Inferno,107,88,Season
09/30/12,Week 4,Los Angeles Wildcats,Northern Arizona Wranglers,125,72,Season
09/30/12,Week 4,Philadelphia Soul,Cleveland Gladiators,78,117,Season
09/30/12,Week 4,Cedar Rapids Titans,Brooklyn Bolts,92,119,Season
09/30/12,Week 4,Tucson Sugar Skulls,Boston Brawlers,64,82,Season
10/07/12,Week 5,Miami Inferno,Milwaukee Mustangs,69,91,Season
10/07/12,Week 5,Northern Arizona Wranglers,Vegas Knight Hawks,120,85,Season
10/07/12,Week 5,Chicago Slaughter,Los Angeles Wildcats,84,93,Season
10/07/12,Week 5,Philadelphia Soul,Cedar Rapids Titans,93,58,Season
