Team 1,Team 2,Team 1 Score,Team 2 Score,Team 1 Division,Team 2 Division
Cedar Rapids Titans,Milwaukee Mustangs,162.5,176.45,Central,Central
Chicago Slaughter,Cleveland Gladiators,150.15,132.2,Central,Central
Brooklyn Bolts,Philadelphia Soul,118.9,173.1,East,East
Boston Brawlers,Miami Inferno,194.3,157.4,East,East
Vegas Knight Hawks,Northern Arizona Wranglers,159.8,201.1,West,West
Los Angeles Wildcats,Tucson Sugar Skulls,213.1,192.25,West,West
Cleveland Gladiators,Milwaukee Mustangs,0,0,Central,Central
Brooklyn Bolts,Boston Brawlers,0,0,East,East
Los Angeles Wildcats,Vegas Knight Hawks,0,0,West,West
Philadelphia Soul,Miami Inferno,0,0,East,East
Tucson Sugar Skulls,Northern Arizona Wranglers,0,0,West,West
Chicago Slaughter,Cedar Rapids Titans,0,0,Central,Central
Cleveland Gladiators,Cedar Rapids Titans,0,0,Central,Central
Brooklyn Bolts,Miami Inferno,0,0,East,East
Philadelphia Soul,Boston Brawlers,0,0,East,East
Tucson Sugar Skulls,Vegas Knight Hawks,0,0,West,West
Los Angeles Wildcats,Northern Arizona Wranglers,0,0,West,West
Chicago Slaughter,Milwaukee Mustangs,0,0,Central,Central
Boston Brawlers,Cleveland Gladiators,0,0,East,Central
Miami Inferno,Tucson Sugar Skulls,0,0,East,West
Brooklyn Bolts,Northern Arizona Wranglers,0,0,East,West
Vegas Knight Hawks,Philadelphia Soul,0,0,West,East
Cedar Rapids Titans,Los Angeles Wildcats,0,0,Central,West
Milwaukee Mustangs,Chicago Slaughter,0,0,Central,Central
Vegas Knight Hawks,Los Angeles Wildcats,0,0,West,West
Milwaukee Mustangs,Philadelphia Soul,0,0,Central,East
Northern Arizona Wranglers,Miami Inferno,0,0,West,East
Chicago Slaughter,Brooklyn Bolts,0,0,Central,East
Tucson Sugar Skulls,Boston Brawlers,0,0,West,East
Cleveland Gladiators,Cedar Rapids Titans,0,0,Central,Central
Chicago Slaughter,Cedar Rapids Titans,0,0,Central,Central
Philadelphia Soul,Los Angeles Wildcats,0,0,East,West
Tucson Sugar Skulls,Vegas Knight Hawks,0,0,West,West
Milwaukee Mustangs,Miami Inferno,0,0,Central,East
Boston Brawlers,Brooklyn Bolts,0,0,East,East
Northern Arizona Wranglers,Cleveland Gladiators,0,0,West,Central
Tucson Sugar Skulls,Milwaukee Mustangs,0,0,West,Central
Philadelphia Soul,Miami Inferno,0,0,East,East
Cleveland Gladiators,Brooklyn Bolts,0,0,Central,East
Los Angeles Wildcats,Northern Arizona Wranglers,0,0,West,West
Boston Brawlers,Chicago Slaughter,0,0,East,Central
Cedar Rapids Titans,Vegas Knight Hawks,0,0,Central,West
Los Angeles Wildcats,Tucson Sugar Skulls,0,0,West,West
Vegas Knight Hawks,Chicago Slaughter,0,0,West,Central
Miami Inferno,Brooklyn Bolts,0,0,East,East
Milwaukee Mustangs,Boston Brawlers,0,0,Central,East
Northern Arizona Wranglers,Cedar Rapids Titans,0,0,West,Central
Cleveland Gladiators,Philadelphia Soul,0,0,Central,East
Milwaukee Mustangs,Brooklyn Bolts,0,0,Central,East
Cleveland Gladiators,Los Angeles Wildcats,0,0,Central,West
Cedar Rapids Titans,Boston Brawlers,0,0,Central,East
Philadelphia Soul,Chicago Slaughter,0,0,East,Central
Tucson Sugar Skulls,Northern Arizona Wranglers,0,0,West,West
Miami Inferno,Vegas Knight Hawks,0,0,East,West
Vegas Knight Hawks,Cleveland Gladiators,0,0,West,Central
Boston Brawlers,Philadelphia Soul,0,0,East,East
Los Angeles Wildcats,Chicago Slaughter,0,0,West,Central
Miami Inferno,Cedar Rapids Titans,0,0,East,Central
Brooklyn Bolts,Tucson Sugar Skulls,0,0,East,West
Northern Arizona Wranglers,Milwaukee Mustangs,0,0,West,Central
Miami Inferno,Los Angeles Wildcats,0,0,East,West
Philadelphia Soul,Brooklyn Bolts,0,0,East,East
Boston Brawlers,Vegas Knight Hawks,0,0,East,West
Northern Arizona Wranglers,Chicago Slaughter,0,0,West,Central
Cedar Rapids Titans,Tucson Sugar Skulls,0,0,Central,West
Milwaukee Mustangs,Cleveland Gladiators,0,0,Central,Central
Milwaukee Mustangs,Cedar Rapids Titans,0,0,Central,Central
Vegas Knight Hawks,Northern Arizona Wranglers,0,0,West,West
Chicago Slaughter,Cleveland Gladiators,0,0,Central,Central
Miami Inferno,Boston Brawlers,0,0,East,East
Brooklyn Bolts,Los Angeles Wildcats,0,0,East,West
Philadelphia Soul,Tucson Sugar Skulls,0,0,East,West
Brooklyn Bolts,Vegas Knight Hawks,0,0,East,West
Miami Inferno,Cleveland Gladiators,0,0,East,Central
Tucson Sugar Skulls,Chicago Slaughter,0,0,West,Central
Cedar Rapids Titans,Philadelphia Soul,0,0,Central,East
Northern Arizona Wranglers,Boston Brawlers,0,0,West,East
Los Angeles Wildcats,Milwaukee Mustangs,0,0,West,Central
Boston Brawlers,Los Angeles Wildcats,0,0,East,West
Chicago Slaughter,Miami Inferno,0,0,Central,East
Cleveland Gladiators,Tucson Sugar Skulls,0,0,Central,West
Northern Arizona Wranglers,Philadelphia Soul,0,0,West,East
Cedar Rapids Titans,Brooklyn Bolts,0,0,Central,East
Vegas Knight Hawks,Milwaukee Mustangs,0,0,West,Central
